Product,Balance
SPRINKLE BUTTERFLY,22
SPRINKLE FOUR ARMS,4
SPRINKLE GUN,4
SPRINKLE HEAD,30
SPRINKLE LEG,52
SPRINKLE PIPE,32
SPRINKLE ZINC ALLOY 1/2 INCH,330
SPRINKLER BUTTERY 3.5-5 RADIUS,61
SPRINKLER STAND 1.2 METER LONG,597
SPRIT LEVEL MAGNETIC,49
SPROCKET FULL,24
SPROCKET HALF,3
SPUR GEAR,0
STAINLESS STEEL 10LTS WITH LED,9
STAINLESS STEEL CAN 05 LTS WITH LID,10
STAINLESS STEEL CAN 15LTS WITH LED,8
STAINLESS STEEL MUG 1000ML,9
STARTER ASSY,4
STARTER ASSY 168F,4
STARTER ASSY FOR CG430,17
STARTER ASSY GX 35 HONDA,5
STARTER ASSY MINI TILLER,15
STARTER ASSY SPRAY MACHINE,0
STARTER ASY FOR BRUSH CUTTER TU26,2
STARTER ROPE 5MM,0
STARTER SPRING 168F,39
STEEL LONG TAPE 50 METER (HUF050),0
STEEL STRAIGHT PATTERN SNIPS (TJL210),24
STEEL WIRE ROPE 10MM,5
STEP DRILL BIT 3PCS,3
STONE CHISEL,22
SUBMERSIBLE PUMP 2 INCH,0
SUBMERSIBLE PUMP 3 INCH,17
SUCTION PIPE 3 INCH,59
SUCTION PIPE 4 INCH,15
SUCTION PIPE 76MM/3 INCH DIAMETER,24
"SUGAR CANE EXTRACTOER ,POWER 750 W",2
SUTILI ROPE,0
SWITCH  168F,49
SWITCH FOR BRUSH CUTTER,2
"TAHI CHHO DZONG GARDEN PROJECT, HM SECRETARIAT,THI",0
TAPE FIBREGLASS 20 METERS,58
TAPE FIBREGLASS 30 METERS,38
TAPE FIBREGLASS 50 METERS,28
TAPE RULE  (FL519A),54
TAPE RULE (FLZ519),83
TAPE RULE -RUBBER COADED  5 MTR ( FLG9519),119
TARPULANE 18X15 170 GSM,4
TARPULANE 18X15 INCH 200 GSM,3
TARPULANE 18X24 170 GSM,0
TARPULANE 18X24 90 GSM,499.77
TARPULINE 18X15 90 GSM,755.23
TAX,0
TELESCOPE 5 METERS,5
TELESCOPE LADDER 4.2 METERS,4
TELESCOPE LADDER 7.2 MTS,5
TELESCOPING SHEAR 12 INCH,138
TEMERATURE AND HUMIDITY READER HTC1,0
THRESHER WITH MOTOR,0
TILES CUTTER  1.8MM X1000MM A3,1
TILES CUTTER BLADE,11
TILLER WEEDER TF 230,0
TOP PRUNER WITH HANDLE NO 4588,8
TRANSPORTCHARGE,1
TRANSPORTS CHARGES,2
TRANSPORTS CHARGES FOR TWO JUMBO TRUCKS,2
TRANSPORTS CHARGES MONGAR TO T/GANG 2 JUMBOS,0
TREE SAW (SRPM13),0
TRENCHER MACHINE 15 HP,1
TRIANGLE FILE,183
TRIANGLE FILE 125MM,365
TRIANGLE FILE 130MM,495
TRIGGER AND PIPE,14
TRIMMER HEAD,81
TRIMMER HEAD 6 BLADE,49
TRIMMER HEAD ALLUMINUM,51
TRIMMER HEAD CHAIN TYPE,83
TRIMMER HEAD RUBBER,58
TRIMMER HEAD T25,30
TRIMMER HEAD WIRE BRUSH 6 INCH,49
TRIMMER LINER  3MM,-3
TRIMMER STEEL CORE 3MM,488
TROLLEY 4 WHEELS 150KGS CAPACITY,0
TROWEL 203 SMALL,14
TRY SQUARE ( BCF12U),94
T-WRENCH 13X19MM,343
U-CLAMP 10MM,52
UCP BEARING 208,2
ULTRA PEST REPELLER (0-12M) SOLAR CHARGER 5V,14
ULTRASONIC HUMIDIFER,0
UNLOADING EXPENESES PARO,0
V- BELT  A1230 FOR RICE MILL,14
V BELT  A42,8
V BELT  A45,8
V BELT  A610,48
V BELT  B40,5
V BELT 79,0
V BELT A 51,0
V BELT A 52,5
V BELT A 53,6
V BELT A 54,6
V BELT A 56,10
V BELT A 57,4
V BELT A 66,0
V BELT A 67,20
V BELT A1092,20
V BELT A1100,8
V BELT A1270,17
V BELT A32,19
V BELT A33,14
V BELT A34,17
V BELT A35,25
V BELT A41,3
V BELT A43,18
V BELT A44,9
V BELT A530,20
V BELT A57,26
V BELT A61,8
V BELT A63,15
V BELT A630,44
V BELT A650 LI,-1
V BELT A69,4
V BELT A74,15
V BELT B 33,15
V BELT B 34,15
V BELT B 42,15
V BELT B 46,15
V BELT B 56,15
V BELT B 75,6
V BELT B 85,15
V BELT B120,0
V BELT B162,1
V BELT B28,9
V BELT B32,13
V BELT B36,0
V BELT B37,15
V BELT B38,9
V BELT B39,39
V BELT B41,12
V BELT B42,18
V BELT B43,1
V BELT B46,-1
V BELT B48,0
V BELT B49,4
V BELT B51,43
V BELT B52,13
V BELT B54,6
V BELT B55,76
V BELT B57,22
V BELT B58,147
V BELT B59,82
V BELT B61,9
V BELT B62,8
V BELT B63,0
V BELT B64,1
V BELT B66,28
V BELT B67,11
V BELT B68,0
V BELT B69,0
V BELT B70,15
V BELT B71,8
V BELT B75,0
V BELT B76,9
V BELT B78,2
V BELT B84,5
V BELT B89,3
V BELT B90,0
V BELT B94,6
V BELT B98,4
V BELT C 43,10
V BELT C156,5
V BELT C41,0
V BELT C50,0
V BELT C89,22
V PULLEY 10XIB,10
V PULLEY 4X2B 6 INCH,10
V PULLEY 8XIB,10
V.BELT A610 FOR RICE MILL,6
VACCUM CLEARNER  18LT (DRY AND WET),9
VACCUM PACKING MACHINE 500,0
VACCUM SEALER,2
VALVE,0
V-BELT 120,0
V-BELT 1230,0
V-BELT A1080  FOR  RICE MILL,8
V-BELT A1100 FOR RICE MILL,9
V-BELT A1150 RICE MILL,8
V-BELT A1450  FOR RICE MILL,10
V-BELT A1500 FOR RICE MILL,0
V-BELT A38,36
V-BELT A45,28
V-BELT A46,30
V-BELT A47,34
V-BELT A48,40
V-BELT A49,27
V-BELT A50,34
V-BELT A51,38
V-BELT A52,37
V-BELT A56,37
V-BELT A57,31
V-BELT A58,38
V-BELT A60,10
V-BELT A66,30
V-BELT A67,41
V-BELT A68,33
V-BELT B120,29
V-BELT B39,35
V-BELT B55,0
V-BELT B92,14
VEHICLE -MOUNTING AIR PUMPS (Q0900001),7
VELCRO DISC  4 INCH P80,2990
VELCRO DISC 4 INCH P100,2800
VELCRO DISC 4INCH P40,3000
VELCRO DISC 7 INCH  P100,1000
VELCRO DISC 7 INCH P40,1000
VELCRO DISC 7 INCH P80,900
VELCRO PAD,14
VELCRO PAD 4 INCH,99
VELCRO PAD 7 INCH,60
VELCRO SAND PAPER,1275
VEST,0
VIBRATONOZZLE,0
VIBRATOR 800W WITH 1.6MTS NOZZLE,2
VIBRATOR WITH 3.5MTRS NOZZLE 2000W,0
WALL CHASER 85MM,4
WALL PLASTER MACHINE 3.7MTSX80CM,1
WASHER MS 382,2
WASHER MS 382 0000-958-0923,2
WASHER PIPE 3 METER,2
WATER  JAR 6 LTS,0
WATER CAN 10 LTRS,5
WATER JAR 5LTS,2
WATER PUMP 0.5HP PFM KOEL,1
WATER PUMP 1 HP,2
WATER PUMP 1.5 KILOSKAR,0
WATER PUMP 2HP/1.5KW,2
WATER PUMP 5HP/3PH 65X50KOEL,1
WATER PUMP GLACIER 56 1 HP,3
WATER PUMP HOUSING,1
WATER PUMP SALI 1.5HP,2
WATER PUMP SEAL KIT,1
WATER PUMP W80P,5
WATER TAPE 1/2 INCH,0
WATERING JUCK,2
WD 40 RUST SPRAY,0
WEEDER BRUSHCUTTER HONDA,5
WEEDER TRACTOR,2
WEIGHIND SCALE DIGITAL 100KG,1
WEIGHING MACHINE 20KG,2
WEIGHING SCALE 10 KG ELECTRIC AND BATTERY OPERATED,1
WEIGHING SCALE 30KGS,5
WEIGHING SCALE 40KG,8
WEIGHING SCALE PESOLA 30 KG (ANALOG),0
WEIGHING SCALE PORTABLE 50KG DIGITAL,2
WELDER MMA250,8
WELDING GLASSES,32
WELDING GROUND CLAMP,100
WELDING INVERTER MM225 SALI,5
WELDING MACHINE 300A,2
WELDING MACHINE ARC  400 AMP,2
WELDING MACHINE MIG/MMA -200,9
WHEAT GRINDER MACHINE,3
WHEEL BARROW SINGLE 90KGS CAPCITY,25
WHEEL BARROW SPARE WHEEL VA1002,0
WHEEL FOR DOUBLE BARROW,0
WHEEL GRINDER 4 INCH,99
WHEEL PIN SET,0
WHEEL SPARE WHEEL VA100,0
WHIRL POOLREFRIDGERATOR 265LTS,0
WICK HOLDER,0
WICK KEROSANE,0
WINDY TOP PRUNNER,20
WIRE BRUSH 240MM,62
WIRE STRIPER 7 INCH/180MM,97
WOOD CHISEL SET 6/12/19/25MM,5
WOOD CRUSHER WITH DOUBLE FEEDING INLETS,0
WOOD CUTTER BLADE 4 INCH,12
WOOD CUTTER BLADE 7 INCH (BOSCH),27
WOOD DRILL SET 4 PCS,0
WOODEN BIT 12MM,2
WOODEN BITS 8MM,6
WORM GEAR,0
WORM GEAR- MS 382,0
WRENCH,0
Y TYPE SOCKET 10X12X14 MM,69
